threshold,precision,recall
0.099986,0.218094,1.000000
0.100091,0.218447,1.000000
0.100295,0.218801,1.000000
0.100404,0.219156,1.000000
0.100422,0.219512,1.000000
0.100695,0.219870,1.000000
0.100728,0.220228,1.000000
0.101221,0.220588,1.000000
0.101442,0.220949,1.000000
0.101446,0.221311,1.000000
0.101490,0.221675,1.000000
0.101825,0.222039,1.000000
0.102714,0.222405,1.000000
0.102800,0.222772,1.000000
0.103150,0.223140,1.000000
0.103516,0.223510,1.000000
0.103548,0.223881,1.000000
0.103769,0.224252,1.000000
0.103909,0.224626,1.000000
0.104078,0.225000,1.000000
0.104200,0.225376,1.000000
0.104470,0.225753,1.000000
0.104784,0.226131,1.000000
0.104813,0.226510,1.000000
0.104865,0.226891,1.000000
0.104950,0.227273,1.000000
0.104961,0.227656,1.000000
0.105069,0.228041,1.000000
0.105086,0.228426,1.000000
0.105842,0.228814,1.000000
0.105979,0.229202,1.000000
0.106087,0.229592,1.000000
0.106088,0.229983,1.000000
0.106374,0.230375,1.000000
0.106820,0.230769,1.000000
0.107372,0.231164,1.000000
0.107408,0.231561,1.000000
0.107411,0.231959,1.000000
0.107721,0.232358,1.000000
0.107765,0.232759,1.000000
0.107779,0.233161,1.000000
0.107806,0.233564,1.000000
0.107873,0.233969,1.000000
0.107877,0.234375,1.000000
0.108315,0.234783,1.000000
0.108384,0.235192,1.000000
0.108434,0.235602,1.000000
0.108510,0.236014,1.000000
0.108695,0.236427,1.000000
0.108773,0.236842,1.000000
0.109081,0.237258,1.000000
0.109151,0.237676,1.000000
0.109243,0.238095,1.000000
0.109310,0.238516,1.000000
0.109334,0.238938,1.000000
0.109522,0.239362,1.000000
0.109661,0.239787,1.000000
0.110165,0.240214,1.000000
0.110174,0.240642,1.000000
0.110251,0.241071,1.000000
0.110520,0.241503,1.000000
0.110532,0.241935,1.000000
0.110718,0.242370,1.000000
0.110892,0.242806,1.000000
0.111390,0.243243,1.000000
0.111780,0.243682,1.000000
0.111942,0.244123,1.000000
0.111979,0.244565,1.000000
0.112550,0.245009,1.000000
0.112732,0.245455,1.000000
0.112906,0.245902,1.000000
