model,curve,x,y,threshold
rules_only,pr,0.229630,0.939394,0.358000
rules_only,pr,0.222222,0.937500,0.391000
rules_only,pr,0.222222,0.967742,0.404000
rules_only,pr,0.222222,1.000000,0.450000
rules_only,pr,0.125926,1.000000,0.500000
rules_only,pr,0.066667,1.000000,0.504000
rules_only,pr,0.059259,1.000000,0.550000
rules_only,pr,0.029630,1.000000,0.551000
rules_only,pr,0.022222,1.000000,0.650000
rules_only,pr,0.007407,1.000000,0.700000
rules_only,pr,0.000000,1.000000,1.000000
ml_only,roc,0.000000,0.000000,1.000000
ml_only,roc,0.000000,0.007407,1.000000
ml_only,roc,0.000000,0.192593,0.768262
ml_only,roc,0.001307,0.192593,0.765340
ml_only,roc,0.001307,0.451852,0.667584
ml_only,roc,0.002614,0.451852,0.664805
ml_only,roc,0.002614,0.518519,0.652635
ml_only,roc,0.003922,0.518519,0.652166
ml_only,roc,0.003922,0.592593,0.620962
ml_only,roc,0.005229,0.592593,0.619388
ml_only,roc,0.005229,0.629630,0.604269
ml_only,roc,0.006536,0.629630,0.603741
ml_only,roc,0.006536,0.674074,0.584847
ml_only,roc,0.007843,0.674074,0.583100
ml_only,roc,0.007843,0.688889,0.578868
ml_only,roc,0.009150,0.688889,0.578534
ml_only,roc,0.009150,0.718519,0.571262
ml_only,roc,0.010458,0.718519,0.567524
ml_only,roc,0.010458,0.733333,0.562478
ml_only,roc,0.013072,0.733333,0.553192
ml_only,roc,0.013072,0.748148,0.546231
ml_only,roc,0.014379,0.748148,0.540294
ml_only,roc,0.014379,0.814815,0.531371
ml_only,roc,0.016993,0.814815,0.529858
ml_only,roc,0.016993,0.829630,0.525640
ml_only,roc,0.020915,0.829630,0.523135
ml_only,roc,0.020915,0.874074,0.517024
ml_only,roc,0.022222,0.874074,0.516501
ml_only,roc,0.022222,0.881481,0.507701
ml_only,roc,0.023529,0.881481,0.507445
ml_only,roc,0.023529,0.903704,0.503865
ml_only,roc,0.024837,0.903704,0.503792
ml_only,roc,0.024837,0.911111,0.500741
ml_only,roc,0.026144,0.911111,0.498856
ml_only,roc,0.026144,0.918519,0.496062
ml_only,roc,0.032680,0.918519,0.487075
ml_only,roc,0.032680,0.925926,0.484731
ml_only,roc,0.045752,0.925926,0.465178
ml_only,roc,0.045752,0.933333,0.464328
ml_only,roc,0.062745,0.933333,0.450301
ml_only,roc,0.062745,0.940741,0.447381
ml_only,roc,0.070588,0.940741,0.441248
ml_only,roc,0.070588,0.948148,0.439677
ml_only,roc,0.086275,0.948148,0.429271
ml_only,roc,0.086275,0.955556,0.429191
ml_only,roc,0.103268,0.955556,0.412170
ml_only,roc,0.103268,0.962963,0.412161
ml_only,roc,0.108497,0.962963,0.403984
ml_only,roc,0.108497,0.970370,0.403046
ml_only,roc,0.120261,0.970370,0.396690
ml_only,roc,0.120261,0.977778,0.395798
ml_only,roc,0.166013,0.977778,0.372761
ml_only,roc,0.166013,0.985185,0.370899
ml_only,roc,0.180392,0.985185,0.364378
ml_only,roc,0.180392,0.992593,0.362347
ml_only,roc,0.224837,0.992593,0.342530
ml_only,roc,0.224837,1.000000,0.342482
ml_only,roc,1.000000,1.000000,0.020205
ml_only,pr,1.000000,0.150000,0.020205
ml_only,pr,1.000000,0.150167,0.022775
ml_only,pr,1.000000,0.150334,0.026223
ml_only,pr,1.000000,0.150502,0.028080
ml_only,pr,1.000000,0.150670,0.030166
ml_only,pr,1.000000,0.150838,0.037020
ml_only,pr,1.000000,0.151007,0.042352
ml_only,pr,1.000000,0.151176,0.044400
ml_only,pr,1.000000,0.151345,0.044872
ml_only,pr,1.000000,0.151515,0.052287
ml_only,pr,1.000000,0.151685,0.053864
ml_only,pr,1.000000,0.151856,0.055606
ml_only,pr,1.000000,0.152027,0.055612
ml_only,pr,1.000000,0.152198,0.055936
ml_only,pr,1.000000,0.152370,0.058501
ml_only,pr,1.000000,0.152542,0.059438
ml_only,pr,1.000000,0.152715,0.060645
ml_only,pr,1.000000,0.152888,0.061517
ml_only,pr,1.000000,0.153061,0.062206
ml_only,pr,1.000000,0.153235,0.063996
ml_only,pr,1.000000,0.153409,0.064745
ml_only,pr,1.000000,0.153584,0.067192
ml_only,pr,1.000000,0.153759,0.067214
ml_only,pr,1.000000,0.153934,0.067548
ml_only,pr,1.000000,0.154110,0.068885
ml_only,pr,1.000000,0.154286,0.069420
ml_only,pr,1.000000,0.154462,0.070716
ml_only,pr,1.000000,0.154639,0.071430
ml_only,pr,1.000000,0.154817,0.071732
ml_only,pr,1.000000,0.154994,0.072780
ml_only,pr,1.000000,0.155172,0.073848
ml_only,pr,1.000000,0.155351,0.076279
ml_only,pr,1.000000,0.155530,0.077005
ml_only,pr,1.000000,0.155709,0.077193
ml_only,pr,1.000000,0.155889,0.077531
ml_only,pr,1.000000,0.156069,0.077588
ml_only,pr,1.000000,0.156250,0.080475
ml_only,pr,1.000000,0.156431,0.080498
ml_only,pr,1.000000,0.156613,0.081440
ml_only,pr,1.000000,0.156794,0.082076
ml_only,pr,1.000000,0.156977,0.083634
ml_only,pr,1.000000,0.157159,0.085991
ml_only,pr,1.000000,0.157343,0.088417
ml_only,pr,1.000000,0.157526,0.090298
ml_only,pr,1.000000,0.157710,0.090878
ml_only,pr,1.000000,0.157895,0.092970
ml_only,pr,1.000000,0.158080,0.093994
ml_only,pr,1.000000,0.158265,0.094545
ml_only,pr,1.000000,0.158451,0.097407
ml_only,pr,1.000000,0.158637,0.097618
ml_only,pr,1.000000,0.158824,0.098049
ml_only,pr,1.000000,0.159011,0.098243
ml_only,pr,1.000000,0.159198,0.098726
ml_only,pr,1.000000,0.159386,0.099100
ml_only,pr,1.000000,0.159574,0.099214
ml_only,pr,1.000000,0.159763,0.099228
ml_only,pr,1.000000,0.159953,0.100646
ml_only,pr,1.000000,0.160142,0.101245
ml_only,pr,1.000000,0.160333,0.101569
ml_only,pr,1.000000,0.160523,0.102312
ml_only,pr,1.000000,0.160714,0.102886
ml_only,pr,1.000000,0.160906,0.103246
ml_only,pr,1.000000,0.161098,0.104256
ml_only,pr,1.000000,0.161290,0.104507
ml_only,pr,1.000000,0.161483,0.104543
ml_only,pr,1.000000,0.161677,0.104615
ml_only,pr,1.000000,0.161871,0.104834
ml_only,pr,1.000000,0.162065,0.106837
ml_only,pr,1.000000,0.162260,0.108231
ml_only,pr,1.000000,0.162455,0.108802
ml_only,pr,1.000000,0.162651,0.109064
ml_only,pr,1.000000,0.162847,0.110351
ml_only,pr,1.000000,0.163043,0.110588
ml_only,pr,1.000000,0.163241,0.111250
ml_only,pr,1.000000,0.163438,0.112193
ml_only,pr,1.000000,0.163636,0.112871
ml_only,pr,1.000000,0.163835,0.113452
ml_only,pr,1.000000,0.164034,0.113613
ml_only,pr,1.000000,0.164234,0.114111
ml_only,pr,1.000000,0.164434,0.114591
ml_only,pr,1.000000,0.164634,0.115185
ml_only,pr,1.000000,0.164835,0.116311
ml_only,pr,1.000000,0.165037,0.116348
ml_only,pr,1.000000,0.165239,0.116616
ml_only,pr,1.000000,0.165441,0.116943
ml_only,pr,1.000000,0.165644,0.117405
ml_only,pr,1.000000,0.165848,0.117448
ml_only,pr,1.000000,0.166052,0.117493
ml_only,pr,1.000000,0.166256,0.117644
ml_only,pr,1.000000,0.166461,0.117693
ml_only,pr,1.000000,0.166667,0.117762
ml_only,pr,1.000000,0.166873,0.118601
ml_only,pr,1.000000,0.167079,0.119326
ml_only,pr,1.000000,0.167286,0.119442
ml_only,pr,1.000000,0.167494,0.119514
ml_only,pr,1.000000,0.167702,0.120206
ml_only,pr,1.000000,0.167910,0.120950
ml_only,pr,1.000000,0.168120,0.121104
ml_only,pr,1.000000,0.168329,0.121260
ml_only,pr,1.000000,0.168539,0.121819
ml_only,pr,1.000000,0.168750,0.121902
ml_only,pr,1.000000,0.168961,0.122447
ml_only,pr,1.000000,0.169173,0.122806
ml_only,pr,1.000000,0.169385,0.123101
ml_only,pr,1.000000,0.169598,0.123153
ml_only,pr,1.000000,0.169811,0.123584
ml_only,pr,1.000000,0.170025,0.123784
ml_only,pr,1.000000,0.170240,0.124980
ml_only,pr,1.000000,0.170455,0.126195
ml_only,pr,1.000000,0.170670,0.126450
ml_only,pr,1.000000,0.170886,0.126561
ml_only,pr,1.000000,0.171103,0.126621
ml_only,pr,1.000000,0.171320,0.127235
ml_only,pr,1.000000,0.171537,0.127983
ml_only,pr,1.000000,0.171756,0.128025
ml_only,pr,1.000000,0.171975,0.128091
ml_only,pr,1.000000,0.172194,0.128396
ml_only,pr,1.000000,0.172414,0.128477
ml_only,pr,1.000000,0.172634,0.128745
ml_only,pr,1.000000,0.172855,0.129174
ml_only,pr,1.000000,0.173077,0.129673
ml_only,pr,1.000000,0.173299,0.129906
ml_only,pr,1.000000,0.173522,0.129986
ml_only,pr,1.000000,0.173745,0.130414
ml_only,pr,1.000000,0.173969,0.132274
ml_only,pr,1.000000,0.174194,0.132377
ml_only,pr,1.000000,0.174419,0.132799
ml_only,pr,1.000000,0.174644,0.133010
ml_only,pr,1.000000,0.174870,0.133021
ml_only,pr,1.000000,0.175097,0.135658
ml_only,pr,1.000000,0.175325,0.136507
ml_only,pr,1.000000,0.175553,0.136599
ml_only,pr,1.000000,0.175781,0.137165
ml_only,pr,1.000000,0.176010,0.137392
ml_only,pr,1.000000,0.176240,0.138150
ml_only,pr,1.000000,0.176471,0.139425
ml_only,pr,1.000000,0.176702,0.139644
ml_only,pr,1.000000,0.176933,0.139672
ml_only,pr,1.000000,0.177165,0.140339
ml_only,pr,1.000000,0.177398,0.140356
ml_only,pr,1.000000,0.177632,0.141226
ml_only,pr,1.000000,0.177866,0.141611
ml_only,pr,1.000000,0.178100,0.141694
ml_only,pr,1.000000,0.178336,0.142368
ml_only,pr,1.000000,0.178571,0.142450
ml_only,pr,1.000000,0.178808,0.142547
ml_only,pr,1.000000,0.179045,0.144423
ml_only,pr,1.000000,0.179283,0.144780
ml_only,pr,1.000000,0.179521,0.145185
ml_only,pr,1.000000,0.179760,0.145240
ml_only,pr,1.000000,0.180000,0.145625
ml_only,pr,1.000000,0.180240,0.146324
ml_only,pr,1.000000,0.180481,0.146714
ml_only,pr,1.000000,0.180723,0.148045
ml_only,pr,1.000000,0.180965,0.149437
ml_only,pr,1.000000,0.181208,0.149732
ml_only,pr,1.000000,0.181452,0.150351
ml_only,pr,1.000000,0.181696,0.150640
ml_only,pr,1.000000,0.181941,0.150869
ml_only,pr,1.000000,0.182186,0.151217
ml_only,pr,1.000000,0.182432,0.152126
ml_only,pr,1.000000,0.182679,0.152905
ml_only,pr,1.000000,0.182927,0.153913
ml_only,pr,1.000000,0.183175,0.154225
ml_only,pr,1.000000,0.183424,0.154298
ml_only,pr,1.000000,0.183673,0.154507
ml_only,pr,1.000000,0.183924,0.154709
ml_only,pr,1.000000,0.184175,0.154861
ml_only,pr,1.000000,0.184426,0.155007
ml_only,pr,1.000000,0.184679,0.155026
ml_only,pr,1.000000,0.184932,0.155407
ml_only,pr,1.000000,0.185185,0.155758
ml_only,pr,1.000000,0.185440,0.155816
ml_only,pr,1.000000,0.185695,0.156665
ml_only,pr,1.000000,0.185950,0.157173
ml_only,pr,1.000000,0.186207,0.157439
ml_only,pr,1.000000,0.186464,0.157510
ml_only,pr,1.000000,0.186722,0.157626
ml_only,pr,1.000000,0.186981,0.157675
ml_only,pr,1.000000,0.187240,0.157693
ml_only,pr,1.000000,0.187500,0.158116
ml_only,pr,1.000000,0.187761,0.158493
ml_only,pr,1.000000,0.188022,0.158824
ml_only,pr,1.000000,0.188285,0.158960
ml_only,pr,1.000000,0.188547,0.159149
ml_only,pr,1.000000,0.188811,0.159257
ml_only,pr,1.000000,0.189076,0.159454
ml_only,pr,1.000000,0.189341,0.160794
ml_only,pr,1.000000,0.189607,0.161641
ml_only,pr,1.000000,0.189873,0.162062
ml_only,pr,1.000000,0.190141,0.162286
ml_only,pr,1.000000,0.190409,0.163306
ml_only,pr,1.000000,0.190678,0.163341
ml_only,pr,1.000000,0.190948,0.163655
ml_only,pr,1.000000,0.191218,0.163734
ml_only,pr,1.000000,0.191489,0.164153
ml_only,pr,1.000000,0.191761,0.164575
ml_only,pr,1.000000,0.192034,0.165323
ml_only,pr,1.000000,0.192308,0.165404
ml_only,pr,1.000000,0.192582,0.165414
ml_only,pr,1.000000,0.192857,0.165976
ml_only,pr,1.000000,0.193133,0.166044
ml_only,pr,1.000000,0.193410,0.167024
ml_only,pr,1.000000,0.193687,0.168519
ml_only,pr,1.000000,0.193966,0.168978
ml_only,pr,1.000000,0.194245,0.169138
ml_only,pr,1.000000,0.194524,0.169140
ml_only,pr,1.000000,0.194805,0.169734
ml_only,pr,1.000000,0.195087,0.170071
ml_only,pr,1.000000,0.195369,0.170839
ml_only,pr,1.000000,0.195652,0.171011
ml_only,pr,1.000000,0.195936,0.171560
ml_only,pr,1.000000,0.196221,0.171807
ml_only,pr,1.000000,0.196507,0.173079
ml_only,pr,1.000000,0.196793,0.173246
ml_only,pr,1.000000,0.197080,0.174064
ml_only,pr,1.000000,0.197368,0.174632
ml_only,pr,1.000000,0.197657,0.174754
ml_only,pr,1.000000,0.197947,0.174891
